source,target,nu_gap,within_median,separation,n_reps,max_r2,mean_r2,p_global,q_global
262736_at,261569_at,0.8164084180780831,0.12519888257472922,0.6912095355033538,2,0.6587849252830704,0.3270839366722571,0.033823593593156724,0.3733208352473362
262736_at,248502_at,0.9877807803143603,0.5285203535121754,0.45926042680218493,2,0.814999926070437,0.19138358851828857,0.010343473137520185,0.3733208352473362
262736_at,249932_at,0.7780421975753781,0.43461547438842774,0.34342672318695033,2,0.7873029964213586,0.3454173424416281,0.03853707502291276,0.3733208352473362
262736_at,247903_at,0.6105042905449496,0.4084700620800257,0.20203422846492392,2,0.7271981632982345,0.4050452472448528,0.07393182909265482,0.3733208352473362
262736_at,265339_at,0.7234776986544394,0.4067214306003531,0.31675626805408635,2,0.6864619991174183,-0.011173049960295056,0.0473093876838476,0.3733208352473362
262736_at,262505_at,0.9501252056883546,0.36523284747113005,0.5848923582172245,2,0.6192985021984267,0.22913200490584423,0.016715401737005194,0.3733208352473362
262736_at,247348_at,0.9533823039248702,0.40460152886375367,0.5487807750611166,2,0.5456097056731232,0.20280104854215608,0.016148038231571595,0.3733208352473362
262736_at,253496_at,0.8022153758163048,0.5129119989629949,0.28930337685330987,2,0.7597899166989543,0.31580173276967816,0.03556932745602933,0.3733208352473362
262736_at,263548_at,0.9955505680188566,0.3711469514658299,0.6244036165530267,2,0.5865494401232975,0.14231616561193236,0.008510452581503949,0.3733208352473362
262736_at,262892_at,0.7171382270915313,0.15084546409703242,0.5662927629944989,2,0.7770396647122515,0.3933805228053088,0.04844411469471479,0.3733208352473362
262736_at,259185_at,0.9909596297203307,0.10106406094909291,0.8898955687712378,2,0.5909510248444516,0.1814914188436363,0.009426962859512068,0.3733208352473362
262736_at,260073_at,0.7198407680666837,0.3655758118827023,0.35426495618398146,2,0.5639733014777191,0.2962463685933943,0.04796403788242482,0.3733208352473362
262736_at,253638_at,0.9790369344765062,0.6749920306538216,0.30404490382268456,2,0.6420291984102547,0.2703599104989466,0.011696416881246454,0.3733208352473362
