name,locus,annot,period_WT,period_toc1,dperiod,rev_nugap,rev_within,rev_r2_WT,rev_r2_toc1
259460_at,AT1G44000,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G11911.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN81476.1),23.0,21.25,-1.75,0.04564836947684499,0.11314006188569664,0.713882874127866,0.8943424915808392
264211_at,AT1G22770,GI (GIGANTEA); binding,24.5,21.25,-3.25,0.04617767767468259,0.07050934173989983,0.6578373768307268,0.6170815044605478
265790_at,AT2G01170,amino acid permease family protein,23.75,21.25,-2.5,0.0477997201029375,0.20055930687330323,0.6781508532728979,0.7096791632906934
250257_at,AT5G13770,pentatricopeptide (PPR) repeat-containing protein,23.0,22.0,-1.0,0.05057354191581442,0.07832559109824049,0.7159151554717176,0.8674179649263188
261937_at,AT1G22570,proton-dependent oligopeptide transport (POT) family protein,23.75,21.75,-2.0,0.05064032694778817,0.11939040147642746,0.643914282381052,0.7565979473800976
264271_at,AT1G60270,"pseudogene, glycosyl hydrolase family 1, contains Pfam PF00232 : Glycosyl hydrolase family 1 domain; TIGRFAM TIGR01233: 6-phospho-beta-galactosidase; similar to hydroxyisourate hydrolase (GI:19569603) (Glycine max); blastp match of 57% identity and 2.8e-127 P-value to GP|12746303|gb|AAK07429.1|AF321287_1|AF321287 beta-glucosidase {Musa acuminata}",24.0,22.0,-2.0,0.0530549371397202,0.2008024610138837,0.5352796976223475,0.5239683694830788
248080_at,AT5G55380,membrane bound O-acyl transferase (MBOAT) family protein / wax synthase-related,23.75,21.0,-2.75,0.05350583160235334,0.0706456614085264,0.5648756606430856,0.7361897655295364
251727_at,AT3G56290,similar to hypothetical protein [Vitis vinifera] (GB:CAN75527.1),24.25,21.0,-3.25,0.0539538704303653,0.09200884377990327,0.6784512909361045,0.8071030828641852
262526_at,AT1G17050,SPS2 (SOLANESYL DIPHOSPHATE SYNTHASE 2); dimethylallyltranstransferase/ trans-octaprenyltranstransferase,23.75,21.0,-2.75,0.05420692082379259,0.1392267657290333,0.6655498447333841,0.7932378555530828
246523_at,AT5G15850,COL1 (CONSTANS-LIKE 1); transcription factor/ zinc ion binding,24.25,21.75,-2.5,0.055426258550441525,0.14124322726016694,0.6398423878617054,0.6451506141726034
254020_at,AT4G25700,BETA-OHASE 1 (BETA-HYDROXYLASE 1); beta-carotene hydroxylase,23.5,21.0,-2.5,0.056483593738394386,0.16411058376102586,0.7229271778048154,0.795064224181746
258181_at,AT3G21670,nitrate transporter (NTP3),23.5,21.5,-2.0,0.05692740070846339,0.14236873033231975,0.7931748025146815,0.8738582449902627
249741_at,AT5G24470,APRR5 (PSEUDO-RESPONSE REGULATOR 5); transcription regulator,23.75,21.75,-2.0,0.06157331880160106,0.056814132637635094,0.610088513747326,0.7019446343251989
249191_at,AT5G42760,"similar to unknown [Populus trichocarpa] (GB:ABK95091.1); contains InterPro domain O-methyltransferase, N-terminal (InterPro:IPR003455); contains InterPro domain Conserved hypothetical protein CHP00027,  methylltransferase (InterPro:IPR011610)",23.75,21.25,-2.5,0.06229388511146856,0.06163676223877685,0.7586109280074727,0.8818285457105833
245052_at,AT2G26440,pectinesterase family protein,23.5,22.0,-1.5,0.062307894626921094,0.1457803067755217,0.7220696444857655,0.704695399825533
253394_at,AT4G32770,VTE1 (VITAMIN E DEFICIENT 1),23.75,21.0,-2.75,0.06259323831243059,0.1669354315541278,0.5992885204088809,0.6788104185765472
263122_at,AT1G78510,SPS1 (SOLANESYL DIPHOSPHATE SYNTHASE 1); dimethylallyltranstransferase/ trans-octaprenyltranstransferase,24.0,22.0,-2.0,0.06491979144071287,0.07419285043126206,0.7160661598177929,0.8709976824927087
257311_at,AT3G26570,PHT2;1 (phosphate transporter 2;1),22.75,21.0,-1.75,0.06529499839500802,0.16292946223223648,0.6151805379700017,0.8270884139602429
253374_at,AT4G33140,similar to unnamed protein product [Vitis vinifera] (GB:CAO65164.1); contains domain SSF56784 (SSF56784); contains domain PD105831 (PD105831),24.5,23.0,-1.5,0.06790256929364331,0.15253525017201236,0.5881140141481588,0.8021630014351165
254874_at,AT4G11570,haloacid dehalogenase-like hydrolase family protein,23.0,21.5,-1.5,0.06968288962930187,0.14893429145414622,0.5866341091859841,0.6481400099833673
253048_at,AT4G37560,"formamidase, putative / formamide amidohydrolase, putative",24.5,22.0,-2.5,0.07024351928336554,0.11751513042942857,0.7243970895017905,0.9606179836284094
253943_at,AT4G27030,small conjugating protein ligase,23.5,20.75,-2.75,0.07102462688149905,0.0790042595043435,0.7245133360904421,0.8614830293042028
246831_at,AT5G26340,MSS1 (SUGAR TRANSPORT PROTEIN 13); carbohydrate transmembrane transporter/ hexose:hydrogen symporter/ high-affinity hydrogen:glucose symporter/ sugar:hydrogen ion symporter,23.25,21.25,-2.0,0.07480033315725526,0.2569001183361478,0.5813649968599407,0.6625892297680984
266391_at,AT2G41290,strictosidine synthase family protein,24.0,21.25,-2.75,0.07494476555280677,0.09431135343326441,0.6068646862355077,0.7459618752521764
260412_at,AT1G69830,AMY3/ATAMY3 (ALPHA-AMYLASE-LIKE 3); alpha-amylase,24.0,21.0,-3.0,0.07532150546696861,0.2599170279429673,0.5871503752207818,0.6040056652883621
252956_at,AT4G38580,ATFP6 (FARNESYLATED PROTEIN 6); metal ion binding,23.5,22.0,-1.5,0.07818138776184104,0.03133118394876617,0.6198559084601059,0.7137732336152921
253814_at,AT4G28290,unknown protein,23.0,19.75,-3.25,0.0787790454559948,0.0719936517580515,0.7482242029175056,0.6209594259493885
252411_at,AT3G47430,PEX11B,24.0,21.75,-2.25,0.07887042687934899,0.13059428038500226,0.7937162720584284,0.95353299629771
255980_at,AT1G33970,"avirulence-responsive protein, putative / avirulence induced gene protein, putative / AIG protein, putative",23.5,21.75,-1.75,0.07955684066515599,0.1161531150630687,0.683248050619209,0.77340081743775
259303_at,AT3G05130,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G27330.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO68600.1); contains InterPro domain Prefoldin (InterPro:IPR009053),25.75,22.75,-3.0,0.07976768399530489,0.2336435690488351,0.5177845981223834,0.5702803521193929
261319_at,AT1G53090,SPA4 (SPA1-RELATED 4); signal transducer,24.75,21.5,-3.25,0.07986810481054174,0.1427434735217109,0.6628717547782832,0.8806661818702538
250926_at,AT5G03555,"permease, cytosine/purines, uracil, thiamine, allantoin family protein",24.25,21.25,-3.0,0.0807573260630013,0.21372627827646906,0.6732690652126101,0.7989124296952274
252123_at,AT3G51240,F3H (TRANSPARENT TESTA 6); naringenin 3-dioxygenase,25.25,22.0,-3.25,0.08109845345707306,0.08442383535714987,0.5555343727343228,0.8330995843322063
245866_s_at,AT1G57990;AT1G57980,"[AT1G57990, ATPUP18 (Arabidopsis thaliana purine permease 18); purine transmembrane transporter];[AT1G57980, purine permease-related]",25.0,23.25,-1.75,0.0816426034425552,0.52530684484927,0.575522993681171,0.7009277736430143
263128_at,AT1G78600,zinc finger (B-box type) family protein,23.75,22.25,-1.5,0.0825779851976911,0.08004627138321707,0.6662171571475735,0.8195662270917903
260671_at,AT1G19310,zinc finger (C3HC4-type RING finger) family protein,23.5,21.75,-1.75,0.08305492138119712,0.20705791857010875,0.6468421857542317,0.6093393083060852
262879_at,AT1G64860,SIGA (SIGMA FACTOR A); DNA binding / DNA-directed RNA polymerase/ transcription factor,23.5,21.5,-2.0,0.08378772606324009,0.049629585272164954,0.6188223769820291,0.7230464575962343
267523_at,AT2G30600,BTB/POZ domain-containing protein,24.25,22.25,-2.0,0.08381356899419719,0.1129103115401362,0.6377867281813816,0.805722666103243
