Name,locus,annot,period_WT,period_toc1,dperiod,amp_WT,WT1pMMC,WT2pMMC,T1pMMC,T2pMMC,rhythmic_WT,rhythmic_toc1,period_class,does_not_shorten
259932_at,AT1G34370,STOP1 (SENSITIVE TO PROTON RHIZOTOXICITY 1); nucleic acid binding / transcription factor/ zinc ion binding,23.9,24.2,0.3000000000000007,0.8372192593867256,0.0165,0.0078,0.0399,0.053,True,True,invariant,True
248557_at,AT5G49980,AFB5 (AUXIN F-BOX PROTEIN 5); ubiquitin-protein ligase,23.549999999999997,23.85,0.30000000000000426,0.69882115893326,0.0189,0.0273,0.0289,0.0205,True,True,invariant,True
261456_at,AT1G21050,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G76610.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN67637.1); contains InterPro domain Protein of unknown function DUF617, plant (InterPro:IPR006460)",25.55,25.9,0.34999999999999787,1.3227362810395649,0.0075,0.0084,0.0612,0.0577,True,True,invariant,True
251372_at,AT3G60520,zinc ion binding,22.3,22.65,0.34999999999999787,1.4870802087793042,0.0724,0.0323,0.035,0.0663,True,True,invariant,True
261570_at,AT1G01120,KCS1 (3-KETOACYL-COA SYNTHASE 1); acyltransferase,23.85,24.2,0.34999999999999787,1.6823171822878003,0.0115,0.0185,0.0287,0.0413,True,True,invariant,True
262502_at,AT1G21600,PTAC6 (PLASTID TRANSCRIPTIONALLY ACTIVE6),24.15,24.5,0.3500000000000014,1.1751001030419603,0.0106,0.0068,0.0116,0.0102,True,True,invariant,True
261031_at,AT1G17360,COP1-interacting protein-related,22.75,23.1,0.3500000000000014,2.6457066977962103,0.0294,0.0206,0.0143,0.0394,True,True,invariant,True
253849_at,AT4G28080,binding,22.549999999999997,22.9,0.3500000000000014,1.0790271556893192,0.0242,0.024,0.0331,0.0289,True,True,invariant,True
249355_at,AT5G40500,similar to unnamed protein product [Vitis vinifera] (GB:CAO14700.1),21.75,22.15,0.3999999999999986,1.2344016914334301,0.0127,0.022,0.038,0.0261,True,True,invariant,True
266078_at,AT2G40670,ARR16 (response regulator 16); transcription regulator/ two-component response regulator,23.35,23.75,0.3999999999999986,1.703376449790305,0.0479,0.097,0.0546,0.0161,True,True,invariant,True
265741_at,AT2G01320,ABC transporter family protein,25.15,25.55,0.40000000000000213,1.1568432169808247,0.032,0.0208,0.0374,0.043,True,True,invariant,True
265646_at,AT2G27360,"lipase, putative",23.049999999999997,23.45,0.40000000000000213,1.1075212005573447,0.008,0.0118,0.0094,0.0324,True,True,invariant,True
260466_at,AT1G10900,phosphatidylinositol-4-phosphate 5-kinase family protein,23.05,23.450000000000003,0.40000000000000213,1.4576078577848053,0.0294,0.0246,0.0442,0.0392,True,True,invariant,True
250261_at,AT5G13400,proton-dependent oligopeptide transport (POT) family protein,24.1,24.6,0.5,1.2460298059630706,0.009,0.0098,0.0473,0.02,True,True,invariant,True
257722_at,AT3G18490,aspartyl protease family protein,23.2,23.7,0.5,0.9979050735057502,0.0245,0.0784,0.0544,0.0554,True,True,invariant,True
261457_at,AT1G21065,similar to unnamed protein product [Vitis vinifera] (GB:CAO66320.1); contains InterPro domain Protein of unknown function UPF0047 (InterPro:IPR001602),21.85,22.35,0.5,0.7597396003792003,0.0248,0.0582,0.0385,0.0686,True,True,invariant,True
263275_at,AT2G14170,ALDH6B2 (Aldehyde dehydrogenase 6B2); 3-chloroallyl aldehyde dehydrogenase,22.799999999999997,23.3,0.5000000000000036,1.050303347935695,0.0074,0.0338,0.0092,0.0115,True,True,invariant,True
262870_at,AT1G64710,"alcohol dehydrogenase, putative",21.700000000000003,22.25,0.5499999999999972,1.0236823172235905,0.0675,0.0886,0.0206,0.0932,True,True,invariant,True
252890_at,AT4G39400,BRI1 (BRASSINOSTEROID INSENSITIVE 1); kinase,26.35,26.900000000000002,0.5500000000000007,0.6308677466462402,0.0137,0.0533,0.022,0.0196,True,True,invariant,True
257074_at,AT3G19660,similar to unnamed protein product [Vitis vinifera] (GB:CAO49873.1),21.75,22.3,0.5500000000000007,1.2017104018327953,0.0136,0.0279,0.0736,0.0423,True,True,invariant,True
256541_at,AT1G42540,ATGLR3.3 (Arabidopsis thaliana glutamate receptor 3.3),22.4,22.950000000000003,0.5500000000000043,1.3909770346577002,0.0123,0.0095,0.0058,0.0109,True,True,invariant,True
259834_at,AT1G69570,Dof-type zinc finger domain-containing protein,24.7,25.299999999999997,0.5999999999999979,2.0790129289013004,0.0091,0.0237,0.0087,0.0392,True,True,invariant,True
263787_at,AT2G46420,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G61700.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO39750.1); contains InterPro domain Conserved hypothetical protein CHP01589, plant (InterPro:IPR006476)",25.35,25.95,0.5999999999999979,1.2144402122127849,0.0117,0.0273,0.0783,0.0756,True,True,invariant,True
259588_at,AT1G27930,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G67330.1); similar to unknown [Populus trichocarpa] (GB:ABK93495.1); contains InterPro domain Protein of unknown function DUF579, plant (InterPro:IPR006514)",23.299999999999997,23.9,0.6000000000000014,1.2530497291655953,0.0178,0.0151,0.0205,0.052,True,True,lengthened,True
267367_at,AT2G44210,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G55360.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO67164.1); contains InterPro domain Protein of unknown function DUF239, plant (InterPro:IPR004314)",21.95,22.55,0.6000000000000014,0.8917541459246108,0.0484,0.0541,0.047,0.0816,True,True,lengthened,True
251060_at,AT5G01820,ATSR1 (SERINE/THREONINE PROTEIN KINASE 1); kinase,22.85,23.5,0.6499999999999986,2.0591027978381695,0.0228,0.0673,0.029,0.0488,True,True,lengthened,True
266358_at,AT2G32280,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G21310.1); similar to unknown [Populus trichocarpa] (GB:ABK92874.1); contains InterPro domain Protein of unknown function DUF1218 (InterPro:IPR009606),22.45,23.1,0.6500000000000021,1.6995527021374346,0.0132,0.018,0.0694,0.0571,True,True,lengthened,True
249701_at,AT5G35460,similar to unknown [Populus trichocarpa] (GB:ABK95300.1); contains domain Acetyl-CoA synthetase-like (SSF56801),23.75,24.45,0.6999999999999993,0.9917516835490248,0.0104,0.0233,0.013,0.0125,True,True,lengthened,True
251028_at,AT5G02230,haloacid dehalogenase-like hydrolase family protein,22.450000000000003,23.2,0.7499999999999964,2.0931352785150357,0.0136,0.0091,0.0975,0.0536,True,True,lengthened,True
247886_at,AT5G57850,aminotransferase class IV family protein,22.0,22.75,0.75,0.7983773669455347,0.0288,0.0419,0.0606,0.0446,True,True,lengthened,True
262028_at,AT1G35560,"TCP family transcription factor, putative",23.700000000000003,24.5,0.7999999999999972,1.4954898892339699,0.009,0.0099,0.0162,0.0806,True,True,lengthened,True
265471_at,AT2G37130,peroxidase 21 (PER21) (P21) (PRXR5),22.4,23.2,0.8000000000000007,4.27334364743542,0.0442,0.017,0.0816,0.0356,True,True,lengthened,True
264255_at,AT1G09140,ATSRP30.1 (ARABIDOPSIS THALIANA SERINE/ARGININE PROTEIN 30.1); RNA binding,22.950000000000003,23.8,0.8499999999999979,0.9192810450337849,0.0739,0.0368,0.0833,0.0894,True,True,lengthened,True
254034_at,AT4G25960,"PGP2 (P-GLYCOPROTEIN 2); ATPase, coupled to transmembrane movement of substances",23.4,24.25,0.8500000000000014,1.0058306763067493,0.0145,0.01,0.0939,0.021,True,True,lengthened,True
249406_at,AT5G40210,nodulin MtN21 family protein,25.6,26.450000000000003,0.8500000000000014,0.9608613803818202,0.0298,0.0106,0.0381,0.0356,True,True,lengthened,True
245895_at,AT5G09230,SRT2; DNA binding,22.75,23.65,0.8999999999999986,1.3502834957381347,0.0934,0.0069,0.0269,0.0199,True,True,lengthened,True
252525_at,AT3G46450,SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein,24.950000000000003,25.9,0.9499999999999957,1.467253301862815,0.0291,0.0749,0.0884,0.0859,True,True,lengthened,True
247685_at,AT5G59680,"leucine-rich repeat protein kinase, putative",24.5,25.5,1.0,1.3025436303249647,0.0583,0.0312,0.0306,0.0361,True,True,lengthened,True
245264_at,AT4G17245,zinc finger (C3HC4-type RING finger) family protein,26.65,27.65,1.0,1.7750096612418855,0.0142,0.0491,0.0877,0.0881,True,True,lengthened,True
252018_at,AT3G53000,ATPP2-A15 (Phloem protein 2-A15); carbohydrate binding,22.1,23.1,1.0,1.2304492298721903,0.0717,0.0243,0.0391,0.0685,True,True,lengthened,True
247148_at,AT5G65670,IAA9 (indoleacetic acid-induced protein 9); transcription factor,22.65,23.7,1.0500000000000007,0.6152737622522002,0.0108,0.0845,0.0434,0.00985,True,True,lengthened,True
266735_at,AT2G46930,"pectinacetylesterase, putative",24.1,25.3,1.1999999999999993,0.7338978793581701,0.0207,0.0057,0.0702,0.0257,True,True,lengthened,True
256140_at,AT1G48650,helicase domain-containing protein,23.35,24.65,1.2999999999999972,1.1846897088005304,0.0691,0.0187,0.0274,0.0212,True,True,lengthened,True
264214_s_at,AT1G65330;AT1G65300,"[AT1G65330, PHE1 (PHERES1); DNA binding / transcription factor];[AT1G65300, PHE2 (PHERES2); DNA binding / transcription factor]",22.85,24.2,1.3499999999999979,2.488705177803295,0.029,0.0837,0.0416,0.0903,True,True,lengthened,True
251237_at,AT3G62420;AT3G62422,"[AT3G62420, ATBZIP53 (BASIC REGION/LEUCINE ZIPPER MOTIF 53); DNA binding / protein heterodimerization/ sequence-specific DNA binding / transcription factor];[AT3G62422, CPuORF3 (Conserved peptide upstream open reading frame 3)]",22.2,23.65,1.4499999999999993,0.7614449195954345,0.018,0.0135,0.0333,0.0201,True,True,lengthened,True
246701_at,AT5G28020,ATCYSD2 (Arabidopsis thaliana cysteine synthase D2); cysteine synthase,22.9,24.4,1.5,1.7133260824007652,0.0209,0.0325,0.0173,0.0874,True,True,lengthened,True
252502_at,AT3G46900,COPT2 (Copper transporter 2); copper ion transmembrane transporter,22.549999999999997,24.05,1.5000000000000036,1.48543076550831,0.0096,0.0049,0.0793,0.0398,True,True,lengthened,True
267388_at,AT2G44450,glycosyl hydrolase family 1 protein,23.3,24.85,1.5500000000000007,1.566271851006125,0.0911,0.0944,0.0749,0.0769,True,True,lengthened,True
266805_at,AT2G30010,"similar to PMR5 (POWDERY MILDEW RESISTANT 5) [Arabidopsis thaliana] (TAIR:AT5G58600.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO21434.1); contains InterPro domain Protein of unknown function DUF231, plant (InterPro:IPR004253)",23.55,25.15,1.5999999999999979,0.6809169372177495,0.037,0.016,0.0501,0.0332,True,True,lengthened,True
260037_at,AT1G68840,RAV2 (REGULATOR OF THE ATPASE OF THE VACUOLAR MEMBRANE); DNA binding / transcription factor,24.299999999999997,25.9,1.6000000000000014,1.9665893798281004,0.023,0.0118,0.0941,0.041,True,True,lengthened,True
247386_at,AT5G63420,EMB2746 (EMBRYO DEFECTIVE 2746); catalytic,23.25,24.950000000000003,1.7000000000000028,1.8731086871935148,0.006,0.0233,0.0099,0.0208,True,True,lengthened,True
262882_at,AT1G64900,CYP89A2 (CYTOCHROME P450 89A2); oxygen binding,23.4,25.15,1.75,0.7741719927071502,0.0259,0.0253,0.0186,0.0204,True,True,lengthened,True
262487_at,AT1G21610,wound-responsive family protein,23.95,26.2,2.25,1.0025373079646251,0.0183,0.0953,0.0656,0.0325,True,True,lengthened,True
258295_at,AT3G23400,plastid-lipid associated protein PAP / fibrillin family protein,22.2,24.65,2.4499999999999993,0.9426441894875444,0.0132,0.0269,0.0423,0.0436,True,True,lengthened,True
258240_at,AT3G27660,OLEO4 (OLEOSIN4),23.65,26.1,2.450000000000003,1.98886955129161,0.0528,0.0805,0.0555,0.0494,True,True,lengthened,True
257650_at,AT3G16800,"protein phosphatase 2C, putative / PP2C, putative",23.9,26.5,2.6000000000000014,2.1023078086883293,0.0068,0.0235,0.0743,0.0878,True,True,lengthened,True
248771_at,AT5G47790,forkhead-associated domain-containing protein / FHA domain-containing protein,21.799999999999997,24.549999999999997,2.75,0.9123383915877055,0.0798,0.026,0.0806,0.0185,True,True,lengthened,True
254608_at,AT4G18910,NIP1;2/NLM2 (NOD26-like intrinsic protein 1;2); water channel,20.5,23.299999999999997,2.799999999999997,1.0512634141887949,0.0539,0.0969,0.0758,0.0579,True,True,lengthened,True
260682_at,AT1G17510,unknown protein,22.75,25.55,2.8000000000000007,0.9617574209803696,0.0307,0.0862,0.0678,0.0688,True,True,lengthened,True
248492_at,AT5G51040,similar to unnamed protein product [Vitis vinifera] (GB:CAO23083.1); contains InterPro domain Protein of unknown function DUF339 (InterPro:IPR005631),23.3,26.2,2.8999999999999986,0.651431490819216,0.0075,0.0394,0.0309,0.088,True,True,lengthened,True
248765_at,AT5G47650,ATNUDT2 (Arabidopsis thaliana Nudix hydrolase homolog 2); ADP-ribose diphosphatase/ NAD binding / hydrolase,23.200000000000003,26.2,2.9999999999999964,1.2268748406392098,0.0191,0.0158,0.0173,0.0291,True,True,lengthened,True
247594_at,AT5G60800,heavy-metal-associated domain-containing protein,24.549999999999997,27.6,3.0500000000000043,0.937665598312325,0.0279,0.0347,0.0778,0.0249,True,True,lengthened,True
245876_at,AT1G26230,"chaperonin, putative",23.25,26.35,3.1000000000000014,1.7594194925495703,0.0093,0.0233,0.0398,0.071,True,True,lengthened,True
252603_at,AT3G45050,similar to unnamed protein product [Vitis vinifera] (GB:CAO16789.1),24.8,27.950000000000003,3.150000000000002,0.6265433236226858,0.0829,0.0246,0.0644,0.09,True,True,lengthened,True
255889_at,AT1G17840,"ABCG11/COF1/DSO/WBC11 (DESPERADO); ATPase, coupled to transmembrane movement of substances",24.05,27.5,3.4499999999999993,0.934397731662334,0.0282,0.0175,0.0119,0.024,True,True,lengthened,True
254657_s_at,AT4G18220;AT4G18210,"[AT4G18220, purine permease family protein];[AT4G18210, ATPUP10 (Arabidopsis thaliana purine permease 10); purine transmembrane transporter]",24.1,27.6,3.5,1.7429246096974098,0.0144,0.0446,0.0663,0.0671,True,True,lengthened,True
265051_at,AT1G52100,jacalin lectin family protein,25.1,28.75,3.6499999999999986,1.9241071453484602,0.0176,0.0107,0.0812,0.0858,True,True,lengthened,True
258788_at,AT3G11780,MD-2-related lipid recognition domain-containing protein / ML domain-containing protein,23.1,27.15,4.049999999999997,0.8188012593675591,0.0093,0.0159,0.0881,0.094,True,True,lengthened,True
247601_at,AT5G60850,OBP4 (OBF BINDING PROTEIN 4); DNA binding / transcription factor,22.700000000000003,27.15,4.449999999999996,1.0013140877589155,0.0902,0.0405,0.0835,0.0543,True,True,lengthened,True
259525_at,AT1G12560,ATEXPA7 (ARABIDOPSIS THALIANA EXPANSIN A7),25.15,29.75,4.600000000000001,2.14137557125831,0.0567,0.067,0.0891,0.0393,True,True,lengthened,True
250114_s_at,AT5G16370;AT5G16340,"[AT5G16370, AMP-binding protein, putative];[AT5G16340, AMP-binding protein, putative]",25.15,32.45,7.300000000000004,1.3218349488496899,0.0094,0.0106,0.0826,0.0939,True,True,lengthened,True
261540_at,AT1G63610,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G14910.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO62022.1); similar to unknown [Populus trichocarpa] (GB:ABK95713.1),20.799999999999997,31.799999999999997,11.0,0.9454638611220703,0.0935,0.0157,0.0668,0.0466,True,True,lengthened,True
