Name,locus,annot,period_WT,period_toc1,dperiod,amp_WT,WT1pMMC,WT2pMMC,T1pMMC,T2pMMC,rhythmic_WT,rhythmic_toc1,period_class,does_not_shorten
254938_at,AT4G10770,ATOPT7 (oligopeptide transporter 7); oligopeptide transporter,24.55,24.1,-0.4499999999999993,1.7447327219706699,0.0088,0.0044,0.0062,0.00802,True,True,invariant,True
247696_at,AT5G59780,MYB59 (myb domain protein 59); DNA binding / transcription factor,22.8,22.35,-0.4499999999999993,1.8239793560725701,0.0125,0.0426,0.0124,0.0286,True,True,invariant,True
246983_at,AT5G67200,"leucine-rich repeat transmembrane protein kinase, putative",24.05,23.6,-0.4499999999999993,1.85529959017857,0.0676,0.0247,0.0588,0.0507,True,True,invariant,True
248028_at,AT5G55620,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G09950.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO39940.1),23.4,22.95,-0.4499999999999993,1.80090098027777,0.0133,0.0122,0.0312,0.0336,True,True,invariant,True
258800_at,AT3G04550,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G28500.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO65032.1),22.55,22.1,-0.4499999999999993,1.5505022901555696,0.0097,0.0113,0.0265,0.0229,True,True,invariant,True
256255_at,AT3G11280,myb family transcription factor,22.549999999999997,22.1,-0.44999999999999574,0.9647199060177352,0.0163,0.0411,0.065,0.0127,True,True,invariant,True
255477_at,AT4G02370,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G02816.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO40037.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN69598.1); contains InterPro domain Protein of unknown function DUF538 (InterPro:IPR007493),23.549999999999997,23.1,-0.44999999999999574,1.3648077940886445,0.0394,0.022,0.0332,0.0843,True,True,invariant,True
263920_at,AT2G36410,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G52920.1); similar to unknown [Populus trichocarpa] (GB:ABK93998.1); contains InterPro domain Protein of unknown function DUF662 (InterPro:IPR007033),23.1,22.7,-0.40000000000000213,1.40397867808553,0.01,0.029,0.021,0.0661,True,True,invariant,True
247348_at,AT5G63810,BGAL10 (beta-galactosidase 10); beta-galactosidase,23.2,22.799999999999997,-0.40000000000000213,2.2295562921055003,0.005,0.0078,0.0088,0.0155,True,True,invariant,True
261453_at,AT1G21130,"O-methyltransferase, putative",22.3,21.9,-0.40000000000000213,1.9377373605195398,0.0123,0.031,0.0495,0.0688,True,True,invariant,True
